"library","COI"
"S_1_S123",0
"S_4_S313",60
"S_5_S63_L003",40
"S_6_S348",5
"S_7_S141",3
"S_9_S300",60
"S_10_S169",12
"S_14_S3",0
"S_16_S56_L003",25
"S_27_S7",0.5
"S_28_S364",0
"S_32_S152",0
"S_41_S124",0
"S_43_S157",5
"S_63_S170",0
"S_65_S29_L003",20
"S_66_S321",50
"S_81_S279",6
"S_83_S14",0
"S_85_S36_L003",2
"S_87_S81",30
"S_89_S199",0
"S_101_S15_L003",1
"S_102_S245",7.5
"S_106_S223",12
"S_107_S16",30
"S_108_S258",6
"S_109_S351",5
"S_113_S7_L003",2
"S_121_S96_L003",0
"S_122_S43_L003",6
"S_125_S163",0
"S_129_S310",0
"S_130_S333",0
"S_132_S41",0
"S_137_S285",1
"S_140_S320",40
"S_141_S188",1
"S_147_S19",5
"S_148_S249",1
"S_150_S251",3
"S_151_S93",0
"S_154_S162",7.5
"S_159_S190",30
"S_165_S284",5
"S_169_S27",3
"S_171_S219",45
"S_177_S62",5
"S_181_S65",7
"S_183_S263",50
"S_185_S72",0
"S_188_S79",2
"S_189_S37_L003",40
"S_190_S2",25
"S_197_S207",4
"S_198_S304",0
"S_199_S59_L003",1
"S_209_S379",0
"S_210_S177",0
"S_212_S12",0
"S_225_S143",0
"S_228_S138",0.5
"S_229_S24_L003",15
"S_231_S260",20
"S_242_S324",0
"S_248_S252",10
"S_255_S45",0
"S_256_S39_L003",0
"S_261_S368",15
"S_269_S228",0.5
"S_272_S326",20
"S_274_S192",0
"S_276_S74",5
"S_285_1_S191",18
"S_285_S191",18
"S_289_S32_L003",3
"S_292_S80",3
"S_294_S317",0
"S_295_S46_L003",3
"S_297_S95",40
"S_298_S354",20
"S_302_S182",20
"S_304_S341",0
"S_325_S347",0
"S_328_S179",6
"S_331_S25",0
"S_334_S137",0
"S_337_S8",80
"S_339_S28_L003",0
"S_341_S162",11.25
"S_344_S160",6
"S_357_S87",5
"S_358_S153",0
"S_371_S41_L003",1
"S_373_S73",0
"S_377_S12_L003",60
"S_381_S205",50
"S_382_S276",70
"S_385_S62_L003",25
"S_389_S330",25
"S_393_S135",NA
"S_394_S237",0
"S_397_S176",2
"S_398_S239",5
"S_402_S309",3
"S_406_S140",50
"S_407_S131",0
"S_413_S86_L003",0
"S_415_S222",0
"S_419_S1",5
"S_421_S358",3
"S_437_S233",2
"S_440_S128",0
"S_449_S352",18
"S_450_S135",0.5
"S_451_S261",0
"S_453_S63",0
"S_454_S71_L003",42
"S_469_S119",70
"S_471_S344",0
"S_473_S362",6
"S_474_S89_L003",0
"S_477_S225",0
"S_481_S27_L003",0.5
"S_483_S160",2
"S_487_S31",5
"S_494_S382",5
"S_496_S381",22.5
"S_499_S265",18
"S_501_S43",0
"S_509_S109",0
"S_515_S58",0
"S_516_S138",0
"S_517_S20_L003",70
"S_522_S10",30
"S_524_S33_L003",3
"S_525_S305",0
"S_528_S103",30
"S_529_S314",2
"S_533_S68",6
"S_537_S78_L003",60
"S_545_S69",1.5
"S_550_S257",75
"S_552_S308",3
"S_557_S159",0
"S_564_S211",9
"S_565_S149",18
"S_567_S165",0
"S_572_S203",0
"S_574_S155",0
"S_591_S99",5
"S_597_S255",12
"S_627_S83",18
"S_629_S113",10
"S_630_S51_L003",20
"S_631_S87_L003",15
"S_640_S178",0
"S_646_S142",2.5
"S_650_S129",22.5
"S_652_S232",40
"S_653_S6",30
"S_656_S181",30
"S_657_S154",25
"S_658_S33",70
"S_662_S98",0.5
"S_673_S40_L003",4
"S_674_S130",0
"S_679_S9",2.5
"S_685_S121",3
"S_695_S46",40
"S_696_S88",30
"S_699_S356",5
"S_701_S340",20
"S_704_S282",30
"S_706_S108",2.5
"S_711_S50",5
"S_712_S136",4.5
"S_713_S163",10
"S_714_S34_L003",6
